ID,Prediction,Ground Truth
266.png,9.5985,10
311.png,9.3585,10
303.png,9.4735,9.8
112.png,9.4489,9.6
154.png,9.0747,9.6
191.png,9.3326,9.6
165.png,9.3593,9.4
302.png,9.2749,9.4
130.png,8.593,9.2
21.png,9.0423,9.2
217.png,8.6769,9.2
227.png,8.3882,9.2
246.png,9.2126,9.2
317.png,9.4863,9.2
326.png,9.013,9.2
34.png,8.9696,9.2
44.png,9.1792,9.2
51.png,9.3111,9.2
6.png,8.8575,9.2
134.png,8.8791,9
171.png,8.508,9
271.png,9.2126,9
284.png,8.865,9
301.png,7.999,9
8.png,9.2495,9
83.png,8.9169,9
89.png,8.9169,9
136.png,8.8791,8.8
183.png,8.8904,8.8
19.png,8.8904,8.8
20.png,8.8904,8.8
3.png,8.8358,8.8
309.png,8.6837,8.8
42.png,9.0447,8.8
162.png,7.8208,8.6
163.png,7.9116,8.6
192.png,8.6646,8.6
122.png,7.8169,8.4
132.png,8.7058,8.4
296.png,7.8985,8.4
48.png,8.0485,8.4
16.png,7.9134,8.2
263.png,8.077,8.2
283.png,8.2534,8.2
314.png,9.1322,8.2
53.png,8.3754,8.2
68.png,8.0802,8.2
70.png,5.7581,8.2
146.png,8.041,8
180.png,7.7851,8
229.png,8.077,8
235.png,6.6485,8
275.png,8.3187,8
276.png,8.2905,8
28.png,8.0783,8
285.png,8.0783,8
286.png,7.7259,8
124.png,7.9767,7.8
150.png,8.412,7.8
222.png,7.4315,7.8
224.png,7.6187,7.8
226.png,7.7049,7.8
231.png,6.854,7.8
274.png,8.077,7.8
32.png,8.0783,7.8
329.png,7.9775,7.8
71.png,8.0802,7.8
101.png,6.9054,7.6
204.png,7.3181,7.6
45.png,7.2645,7.6
105.png,6.9621,7.4
118.png,6.864,7.4
272.png,7.4441,7.4
31.png,6.1573,7.4
56.png,7.0549,7.4
86.png,7.033,7.4
10.png,8.0404,7.2
107.png,7.1205,7.2
114.png,6.8116,7.2
233.png,7.021,7.2
25.png,8.1368,7.2
257.png,6.0638,7.2
287.png,7.0798,7.2
315.png,7.317,7.2
55.png,7.074,7.2
74.png,5.7953,7.2
82.png,7.074,7.2
108.png,7.0645,7
